Frames,CPU_freq,CPU_cores_percent,memory,cache_miss,instructions,cycles,temperature,swap,core_demands,RAM_demands,cpi,time
40,2800,1.4,90,12884111,1743698310,1327159440,27.8,0,1.4,90,0.761117581,6.917789497
40,2800,1.6,70,12954498,1741708119,1332397473,27.8,53236,1.4,90,0.764994696,8.787994929
40,2800,1.6,75,13098751,1740839159,1333340910,27.8,33180,1.4,90,0.765918496,7.619775896
40,2800,1.6,80,13294749,1740748629,1334484980,27.8,21260,1.4,90,0.766615557,7.540360073
40,2800,1.6,85,12977519,1745170583,1339675416,27.8,19292,1.4,90,0.76764726,7.294155738
40,2800,1.6,90,12806226,1740128134,1326777296,27.8,0,1.4,90,0.76245954,6.587530601
40,3200,0.2,70,14465094,1747000311,1381267714,27.8,53728,1.4,90,0.790651098,18.1407074
40,3200,0.2,75,13864741,1743949650,1361742143,27.8,24956,1.4,90,0.780837992,16.43276427
40,3200,0.2,80,13777604,1743464282,1369845204,27.8,26996,1.4,90,0.78570305,16.21914674
40,3200,0.2,85,13943971,1746244098,1371206568,27.8,5132,1.4,90,0.785231898,16.08922242
40,3200,0.2,90,13916074,1743095323,1361544561,27.8,0,1.4,90,0.781107346,15.48438696
40,3200,0.4,70,13515006,1742909345,1357093753,27.8,34188,1.4,90,0.778637028,11.65503622
40,3200,0.4,75,13012768,1740861840,1348404373,27.8,23668,1.4,90,0.774561394,10.61114192
40,3200,0.4,80,13075325,1743482251,1352714019,27.8,20748,1.4,90,0.775869108,10.0524295
40,3200,0.4,85,13059476,1742485043,1350153879,27.8,11788,1.4,90,0.774843884,9.798256952
40,3200,0.4,90,13188491,1740687021,1346976533,27.8,0,1.4,90,0.77381891,9.600506194
40,3200,0.6,70,13250595,1741227125,1350752608,27.8,40620,1.4,90,0.775747511,9.428118948
40,3200,0.6,75,12847287,1739811670,1342164093,27.8,17232,1.4,90,0.771442172,8.915167288
40,3200,0.6,80,12697982,1740135389,1345997450,27.8,27268,1.4,90,0.773501567,8.360584722
40,3200,0.6,85,13126847,1739920119,1345842197,27.8,5888,1.4,90,0.773508038,7.998658734
40,3200,0.6,90,12965220,1743233970,1350591049,27.8,0,1.4,90,0.774761777,7.718071717
40,3200,0.8,70,12814882,1739845530,1349838806,27.8,44212,1.4,90,0.775838304,8.92802069
40,3200,0.8,75,12957435,1743128822,1347027452,27.8,23820,1.4,90,0.772764144,8.33604245
40,3200,0.8,80,12492344,1742280507,1347291208,27.8,14860,1.4,90,0.773291788,7.809479503
40,3200,0.8,85,13290744,1741867826,1352984433,27.8,6144,1.4,90,0.776743455,7.997894393
40,3200,0.8,90,13337501,1741093234,1354616129,27.8,0,1.4,90,0.778026186,7.560553502
40,3200,1,70,12794052,1742186852,1345702393,27.8,40624,1.4,90,0.772421392,8.8525582
40,3200,1,75,12850391,1740583758,1360041784,27.8,23924,1.4,90,0.781371065,8.132068058
40,3200,1,80,12975756,1741124323,1352348551,27.8,26484,1.4,90,0.77670993,8.220693904
40,3200,1,85,12784876,1742225297,1351350277,27.8,21864,1.4,90,0.775646112,7.365517398
40,3200,1,90,13106403,1742677862,1352729378,27.8,0,1.4,90,0.776236049,7.221244998
40,3200,1.2,70,13212264,1745135217,1352039656,27.8,50932,1.4,90,0.774747792,8.814786077
40,3200,1.2,75,12955387,1741498886,1343702765,27.8,27404,1.4,90,0.771578309,6.938763904
40,3200,1.2,80,12920545,1744340532,1355743540,27.8,24076,1.4,90,0.777224123,7.38029424
40,3200,1.2,85,12870165,1741887725,1348622290,27.8,5132,1.4,90,0.77423032,7.33547202
40,3200,1.2,90,12980645,1741190480,1342255802,27.8,0,1.4,90,0.770883954,6.287391042
40,3200,1.4,70,12516389,1740463951,1340359535,27.8,45764,1.4,90,0.770116229,7.891302574
40,3200,1.4,75,12897938,1741453389,1343703210,27.8,34968,1.4,90,0.771598722,7.505299462
40,3200,1.4,80,13171557,1740907735,1346314508,27.8,22796,1.4,90,0.773340529,7.674008586
40,3200,1.4,85,13037619,1741926474,1344471812,27.8,5900,1.4,90,0.771830403,6.95108883
40,3200,1.4,90,13236876,1740819418,1351121206,27.8,0,1.4,90,0.776140932,6.559642563
40,3200,1.6,70,12610009,1743051049,1351089870,27.8,40460,1.4,90,0.77512926,7.861784836
40,3200,1.6,75,12878417,1742490737,1351276370,27.8,29840,1.4,90,0.77548554,7.69832126
40,3200,1.6,80,12918799,1743258538,1342756094,27.8,22528,1.4,90,0.770256428,7.116897717
40,3200,1.6,85,12703401,1740856803,1350590758,27.8,5388,1.4,90,0.775819559,7.169742218
